iter	Logloss
0	0.6792245793
1	0.6672228295
2	0.6511449571
3	0.6344653274
4	0.6181809707
5	0.608877984
6	0.5956358388
7	0.5836565011
8	0.5766040805
9	0.5661474525
10	0.5543148978
11	0.5484981662
12	0.5462272669
13	0.5362768616
14	0.5303287231
15	0.5221433091
16	0.5145662935
17	0.5092287301
18	0.5027373215
19	0.4955447933
20	0.4899440531
21	0.4848595317
22	0.4782803162
23	0.472668017
24	0.4689052713
25	0.4643902783
26	0.4578816198
27	0.4536479152
28	0.4508791775
29	0.4465288607
30	0.4434802608
31	0.4394191814
32	0.4380444278
33	0.4368668013
34	0.4351543958
35	0.43492682
36	0.4315353578
37	0.4280592072
38	0.4255032185
39	0.4239704852
40	0.422442242
41	0.4216073313
42	0.4208043242
43	0.4179687957
44	0.4173145701
45	0.4143585848
46	0.4132939554
47	0.4116097836
48	0.4110013503
49	0.4101330663
50	0.4090714628
51	0.4074702293
52	0.404976889
53	0.4048421049
54	0.4046010127
55	0.4042392551
56	0.4035867798
57	0.4020977251
58	0.4010611068
59	0.4004224431
60	0.3991317917
61	0.3979164272
62	0.3972304104
63	0.395916622
64	0.3945045049
65	0.3936242688
66	0.3935119358
67	0.3931653176
68	0.3919707855
69	0.3915828072
70	0.3897526799
71	0.3886939521
72	0.3874956208
73	0.386866296
74	0.3866406157
75	0.3859609472
76	0.384497829
77	0.3837194488
78	0.3834263702
79	0.3825211766
80	0.3824493672
81	0.3818134817
82	0.381450674
83	0.3809134332
84	0.3805854268
85	0.3785299479
86	0.3785199314
87	0.378356248
88	0.3777910261
89	0.3765240977
90	0.3757444231
91	0.3748394292
92	0.3735514788
93	0.3733141666
94	0.3726456368
95	0.3721734029
96	0.3717496781
97	0.3700581462
98	0.3686837499
99	0.3676655102
100	0.3669736984
101	0.365576985
102	0.3655282815
103	0.3645812966
104	0.3638344768
105	0.3635810677
106	0.362322932
107	0.3618358026
108	0.3610306095
109	0.3601255614
110	0.3599810407
111	0.3587731733
112	0.3585379914
113	0.3580616417
114	0.3570141593
115	0.3568586293
116	0.3557345537
117	0.3556766865
118	0.3550378586
119	0.3547382033
120	0.353942226
121	0.3538675245
122	0.353154366
123	0.3529167442
124	0.3522418533
125	0.3513072535
126	0.3506232173
127	0.350489778
128	0.3501426615
129	0.3501422281
130	0.3496516864
131	0.3484853958
132	0.3484723208
133	0.3481379691
134	0.3481270214
135	0.3472647039
136	0.3470764867
137	0.3468007555
138	0.3458946965
139	0.3458276582
140	0.3454519341
141	0.3448822562
142	0.3444597924
143	0.3438546013
144	0.3433563618
145	0.3432612219
146	0.3432612117
147	0.3432611768
148	0.341906215
149	0.3419062061
150	0.3410323397
151	0.3408874156
152	0.3390750654
153	0.3388435594
154	0.3387432126
155	0.3385336198
156	0.337853202
157	0.3374829585
158	0.337166415
159	0.3371238914
160	0.3371029462
161	0.3364912526
162	0.3360031685
163	0.335848372
164	0.3355161725
165	0.3351846686
166	0.334657199
167	0.3345240178
168	0.3344315895
169	0.3339298771
170	0.3334338677
171	0.3326628668
172	0.3323644465
173	0.3318262976
174	0.331336923
175	0.330383736
176	0.330142004
177	0.3299980919
178	0.3293627364
179	0.3280019692
180	0.3278163806
181	0.3268616166
182	0.3267264171
183	0.3266333217
184	0.3264154384
185	0.3262280182
186	0.3256536532
187	0.3256535504
188	0.3252172584
189	0.3250939386
190	0.3249635017
191	0.3249635016
192	0.3240149912
193	0.3239062176
194	0.3238654315
195	0.3236872644
196	0.3233613074
197	0.3227043924
198	0.3227043923
199	0.3222394959
200	0.321199313
201	0.321199313
202	0.3208882393
203	0.3206203258
204	0.3205075713
205	0.3205075712
206	0.3203276667
207	0.3198123848
208	0.3194314376
209	0.319336289
210	0.3186447727
211	0.3181623208
212	0.3170474611
213	0.3168680555
214	0.3168555539
215	0.3163879463
216	0.3157590978
217	0.315625631
218	0.3153840329
219	0.3147333832
220	0.3140256821
221	0.3136882917
222	0.3129142923
223	0.3128632724
224	0.3124017716
225	0.3115778952
226	0.3108374497
